中央频道,#genre#
宿州科教,http://192.168.123.1:4200/udp/238.1.78.123:6856
宿州新闻,http://192.168.123.1:4200/udp/238.1.78.121:6840
六安公共,http://192.168.123.1:4200/udp/238.1.78.145:7032
六安新闻,http://192.168.123.1:4200/udp/238.1.78.144:7024
马鞍山公共,http://192.168.123.1:4200/udp/238.1.78.77:6488
马鞍山新闻,http://192.168.123.1:4200/udp/238.1.79.15:4232
枞阳电视台,http://192.168.123.1:4200/udp/238.1.78.210:7552
定远综合,http://192.168.123.1:4200/udp/238.1.78.205:7512
东至新闻,http://192.168.123.1:4200/udp/238.1.79.13:4216
繁昌新闻,http://192.168.123.1:4200/udp/238.1.78.190:7392
肥东生活,http://192.168.123.1:4200/udp/238.1.78.184:7344
肥东新闻,http://192.168.123.1:4200/udp/238.1.78.183:7336
肥西新闻,http://192.168.123.1:4200/udp/238.1.78.185:7352
凤阳新闻,http://192.168.123.1:4200/udp/238.1.78.207:7528
阜南新闻,http://192.168.123.1:4200/udp/238.1.79.11:4200
固镇综合,http://192.168.123.1:4200/udp/238.1.79.47:4488
广德生活台,http://192.168.123.1:4200/udp/238.1.78.213:7576
广德新闻台,http://192.168.123.1:4200/udp/238.1.78.212:7568
徽州区新闻,http://192.168.123.1:4200/udp/238.1.78.138:6976
霍邱新闻,http://192.168.123.1:4200/udp/238.1.78.119:6824
霍山电视台,http://192.168.123.1:4200/udp/238.1.78.220:7632
绩溪电视台,http://192.168.123.1:4200/udp/238.1.78.218:7616
界首新闻,http://192.168.123.1:4200/udp/238.1.78.195:7432
金寨新闻,http://192.168.123.1:4200/udp/238.1.79.21:4280
旌德电视台,http://192.168.123.1:4200/udp/238.1.78.215:7592
南陵新闻,http://192.168.123.1:4200/udp/238.1.78.189:7384
宁国一套,http://192.168.123.1:4200/udp/238.1.78.216:7600
祁门新闻,http://192.168.123.1:4200/udp/238.1.79.14:4224
潜山电视台,http://192.168.123.1:4200/udp/238.1.78.192:7408
全椒综合,http://192.168.123.1:4200/udp/238.1.78.203:7496
来安电视台,http://192.168.123.1:4200/udp/238.1.78.204:7504
郎溪新闻台,http://192.168.123.1:4200/udp/238.1.78.214:7584
利辛综合,http://192.168.123.1:4200/udp/238.1.78.196:7440
临泉新闻,http://192.168.123.1:4200/udp/238.1.78.29:6160
蒙城新闻,http://192.168.123.1:4200/udp/238.1.79.19:4264
明光新闻,http://192.168.123.1:4200/udp/238.1.78.208:7536
歙县综合,http://192.168.123.1:4200/udp/238.1.78.200:7472
石台新闻,http://192.168.123.1:4200/udp/238.1.78.221:7640
寿县电视台,http://192.168.123.1:4200/udp/238.1.78.146:7040
泗县电视台,http://192.168.123.1:4200/udp/238.1.78.193:7416
濉溪电视台,http://192.168.123.1:4200/udp/238.1.78.209:7544
太湖新闻,http://192.168.123.1:4200/udp/238.1.79.12:4208
太平电视台,http://192.168.123.1:4200/udp/238.1.78.199:7464
桐城新闻,http://192.168.123.1:4200/udp/238.1.78.28:6152
涡阳新闻,http://192.168.123.1:4200/udp/238.1.78.197:7448
涡阳影视,http://192.168.123.1:4200/udp/238.1.78.198:7456
无为新闻,http://192.168.123.1:4200/udp/238.1.78.188:7376
五河综合,http://192.168.123.1:4200/udp/238.1.79.52:4528
萧县新闻,http://192.168.123.1:4200/udp/238.1.79.46:4480
休宁新闻,http://192.168.123.1:4200/udp/238.1.79.20:4272
黟县新闻,http://192.168.123.1:4200/udp/238.1.78.149:7064
义安电视台,http://192.168.123.1:4200/udp/238.1.78.211:7560
颍上新闻,http://192.168.123.1:4200/udp/238.1.78.194:7424
长丰电视台,http://192.168.123.1:4200/udp/238.1.78.182:7328
美人,http://192.168.123.1:4200/udp/238.1.79.1:4120
古装剧场,http://192.168.123.1:4200/udp/238.1.78.12:4000
美妆,http://192.168.123.1:4200/udp/238.1.79.5:4152
金色频道,http://192.168.123.1:4200/udp/238.1.78.76:6480
光影,http://192.168.123.1:4200/udp/238.1.78.40:4112
墨宝,http://192.168.123.1:4200/udp/238.1.78.39:4104
精选,http://192.168.123.1:4200/udp/238.1.78.19:4056
军旅剧场,http://192.168.123.1:4200/udp/238.1.78.11:7992
军事,http://192.168.123.1:4200/udp/238.1.79.3:4136
高网,http://192.168.123.1:4200/udp/238.1.78.252:7888
卡酷卡通,http://192.168.123.1:4200/udp/238.1.78.97:6648
空中课堂,http://192.168.123.1:4200/udp/238.1.78.107:6728
台球,http://192.168.123.1:4200/udp/238.1.78.251:7880
家庭影院,http://192.168.123.1:4200/udp/238.1.78.14:4016
鉴赏,http://192.168.123.1:4200/udp/238.1.78.38:4096
解密,http://192.168.123.1:4200/udp/238.1.79.6:4160
动漫秀场,http://192.168.123.1:4200/udp/238.1.78.79:6504
动作影院,http://192.168.123.1:4200/udp/238.1.78.13:4008
都市剧场,http://192.168.123.1:4200/udp/238.1.78.74:6464
法治天地,http://192.168.123.1:4200/udp/238.1.78.84:6544
武术,http://192.168.123.1:4200/udp/238.1.79.2:4128
武侠剧场,http://192.168.123.1:4200/udp/238.1.78.16:4032
戏曲,http://192.168.123.1:4200/udp/238.1.78.35:4072
东方财经,http://192.168.123.1:4200/udp/238.1.78.73:6456
星影,http://192.168.123.1:4200/udp/238.1.79.7:4168
游戏风云,http://192.168.123.1:4200/udp/238.1.78.81:6520
早教,http://192.168.123.1:4200/udp/238.1.78.36:4080
地理,http://192.168.123.1:4200/udp/238.1.79.4:4144
音乐现场,http://192.168.123.1:4200/udp/238.1.78.15:4024
动画,http://192.168.123.1:4200/udp/238.1.78.37:4088
IPTV谍战剧场,http://192.168.123.1:4200/udp/238.1.78.2:7920
IPTV法治,http://192.168.123.1:4200/udp/238.1.78.5:7944
CETV-2,http://192.168.123.1:4200/udp/238.1.78.106:6720
CETV-4,http://192.168.123.1:4200/udp/238.1.78.253:7896
山东教育频道,http://192.168.123.1:4200/udp/238.1.78.254:7904
CGTN,http://192.168.123.1:4200/udp/238.1.78.50:6272
IPTV经典电影,http://192.168.123.1:4200/udp/238.1.78.10:7984
IPTV魅力时尚,http://192.168.123.1:4200/udp/238.1.78.7:7960
IPTV热播剧场,http://192.168.123.1:4200/udp/238.1.78.9:7976
IPTV少儿动画,http://192.168.123.1:4200/udp/238.1.78.6:7952
IPTV收视指南,http://192.168.123.1:4200/udp/238.1.78.8:7968
IPTV相声小品,http://192.168.123.1:4200/udp/238.1.78.3:7928
IPTV野外,http://192.168.123.1:4200/udp/238.1.78.4:7936
IPTV6+,http://192.168.123.1:4200/udp/238.1.78.248:7856
IPTV8+,http://192.168.123.1:4200/udp/238.1.78.249:7864
